year,rank,name,networth,age,location,company
2018,1,Jeff Bezos,$112 billion,54,United States,Amazon
2018,2,Bill Gates,$90 billion,62,United States,Microsoft
2018,3,Warren Buffett,$84 billion,87,United States,Berkshire Hathaway
2018,4,Bernard Arnault,$72 billion,69,France,LVMH
2018,5,Mark Zuckerberg,$71 billion,33,United States,Facebook
2018,6,Amancio Ortega,$70 billion,81,Spain,Inditex
2018,7,Carlos Slim,$67.1 billion,78,Mexico,América Móvil
2018,8,Charles Koch,$60 billion,82,United States,Koch Industries
2018,8,David Koch,$60 billion,77,United States,Koch Industries
2018,10,Larry Ellison,$58.5 billion,73,United States,Oracle Corporation
2017,1,Bill Gates,$86.0 billion,61,United States,Microsoft
2017,2,Warren Buffett,$75.6 billion,86,United States,Berkshire Hathaway
2017,3,Jeff Bezos,$72.8 billion,53,United States,Amazon
2017,4,Amancio Ortega,$71.3 billion,80,Spain,Inditex
2017,5,Mark Zuckerberg,$56.0 billion,32,United States,Facebook
2017,6,Carlos Slim,$54.5 billion,77,Mexico,América Móvil
2017,7,Larry Ellison,$52.2 billion,72,United States,Oracle Corporation
2017,8,Charles Koch,$48.3 billion,81,United States,Koch Industries
2017,8,David Koch,$48.3 billion,76,United States,Koch Industries
2017,10,Michael Bloomberg,$47.5 billion,75,United States,Bloomberg L.P.
2016,1,Bill Gates,$75.0 billion,60,United States,Microsoft
2016,2,Amancio Ortega,$67.0 billion,79,Spain,Inditex
2016,3,Warren Buffett,$60.8 billion,85,United States,Berkshire Hathaway
2016,4,Carlos Slim,$50.0 billion,76,Mexico,América Móvil
2016,5,Jeff Bezos,$45.2 billion,52,United States,Amazon
2016,6,Mark Zuckerberg,$44.6 billion,31,United States,Facebook
2016,7,Larry Ellison,$43.6 billion,71,United States,Oracle Corporation
2016,8,Michael Bloomberg,$40.0 billion,74,United States,Bloomberg L.P.
2016,9,Charles Koch,$39.6 billion,80,United States,Koch Industries
2016,9,David Koch,$39.6 billion,75,United States,Koch Industries
2015,1,Bill Gates,$79.2 billion,59,United States,Microsoft
2015,2,Carlos Slim,$77.1 billion,75,Mexico,América Móvil
2015,3,Warren Buffett,$72.7 billion,84,United States,Berkshire Hathaway
2015,4,Amancio Ortega,$64.5 billion,78,Spain,Inditex
2015,5,Larry Ellison,$54.3 billion,70,United States,Oracle Corporation
2015,6,Charles Koch,$42.9 billion,79,United States,Koch Industries
2015,6,David Koch,$42.9 billion,74,United States,Koch Industries
2015,8,Christy Walton,$41.7 billion,66,United States,Walmart
2015,9,Jim Walton,$40.6 billion,66,United States,Walmart
2015,10,Liliane Bettencourt,$40.1 billion,92,France,L'Oreal
2014,1,Bill Gates,$76.0 billion,58,United States,Microsoft
2014,2,Carlos Slim,$72.0 billion,74,Mexico,Telmex
2014,3,Amancio Ortega,$64.0 billion,77,Spain,Inditex
2014,4,Warren Buffett,$58.2 billion,83,United States,Berkshire Hathaway
2014,5,Larry Ellison,$48.0 billion,70,United States,Oracle Corporation
2014,6,Charles Koch,$40.0 billion,78,United States,Koch Industries
2014,6,David Koch,$40.0 billion,73,United States,David Koch
2014,8,Sheldon Adelson,$38.0 billion,80,United States,Las Vegas Sands
2014,9,Christy Walton,$36.7 billion,65,United States,Walmart
2014,10,Jim Walton,$34.7 billion,65,United States,Jim Walton
2013,1,Carlos Slim,$73.0 billion,73,Mexico,Telmex
2013,2,Bill Gates,$67.0 billion,57,United States,Microsoft
2013,3,Amancio Ortega,$57.0 billion,76,Spain,Inditex Group
2013,4,Warren Buffett,$53.5 billion,82,United States,Berkshire Hathaway
2013,5,Larry Ellison,$43.0 billion,68,United States,Oracle Corporation
2013,6,Charles Koch,$34.0 billion,77,United States,Koch Industries
2013,6,David Koch,$34.0 billion,72,United States,Koch Industries
2013,8,Li Ka-shing,$31.0 billion,84,Hong Kong,Cheung Kong Holdings
2013,9,Liliane Bettencourt,$30.0 billion,90,France,L'Oréal
2013,10,Bernard Arnault,$29.0 billion,63,France,LVMH
2012,1,Carlos Slim,$69.0 billion,72,Mexico,Telmex
2012,2,Bill Gates,$61.0 billion,56,United States,Microsoft
2012,3,Warren Buffett,$44.0 billion,81,United States,Berkshire Hathaway
2012,4,Bernard Arnault,$41.0 billion,63,France,LVMH Moët Hennessy • Louis Vuitton
